geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
chn,China,71.099,70.609,69.914,69.286,68.723,68.143,67.566,67.044,66.519,65.988,65.272,64.616,64.017,63.666,63.242,62.885,62.519,61.97,61.483,61.17,61.141,60.803,60.487,60.274,60.046,59.821,59.508,59.23,58.822,57.306,58.762,57.303,57.516,57.194,56.898,56.614
civ,Cote d'Ivoire,44.756,44.771,45.234,45.694,46.206,46.282,46.36,46.339,47.14,47.897,48.674,49.467,50.243,51.144,52.026,52.965,53.766,54.635,55.444,56.343,56.971,57.85,58.211,57.877,57.356,56.805,55.293,54.881,54.48,54.902,56.538,57.444,57.375,57.314,57.267,57.228
cmr,Cameroon,72.19,72.153,72.105,72.267,72.437,72.758,72.805,72.833,72.819,72.781,72.753,73.18,73.638,74.105,74.474,74.918,75.355,72.741,69.956,67.025,66.343,65.671,64.987,64.294,62.965,61.606,60.219,58.844,57.49,55.478,54.525,54.757,54.76,54.226,53.776,53.402
cod,"Congo, Dem. Rep.",69.897,69.835,69.796,69.921,70.006,69.877,69.678,69.604,69.592,69.575,69.563,69.586,69.626,69.653,69.664,68.367,67.048,65.712,64.343,62.973,61.586,60.206,60.213,60.224,60.216,60.195,60.181,60.162,60.147,57.749,59.712,60.073,60.054,60.01,59.972,59.922
cog,"Congo, Rep.",52.051,52.081,52.077,51.939,51.987,52.118,52.204,52.195,52.091,52.391,52.507,52.66,52.547,52.604,52.735,52.948,52.781,52.749,52.858,53.223,53.087,52.975,52.664,52.681,52.423,52.219,51.942,51.889,52.128,50.012,50.588,52.077,52.265,52.357,52.464,52.555
col,Colombia,45.723,45.977,47.261,46.916,47.759,45.762,45.846,44.113,40.556,39.965,42.999,42.839,44.513,43.378,43.727,43.162,42.552,42.907,45.355,46.58,47.618,48.773,48.701,48.785,49.112,48.443,47.956,46.836,45.516,40.618,42.289,44.18,45.697,45.532,45.546,45.546
com,Comoros,30.633,30.703,30.628,30.59,30.535,30.501,30.593,30.62,30.709,30.825,30.884,30.926,30.921,31.026,31.044,31.058,31.059,31.078,31.095,31.131,31.149,31.169,31.195,31.203,32.322,33.458,34.659,35.899,37.101,37.614,38.901,39.337,39.322,39.617,39.946,40.21
cpv,Cape Verde,35.525,35.789,36.086,36.465,36.755,37.054,37.291,37.586,37.905,38.257,38.512,38.81,39.09,39.533,39.946,40.399,40.884,41.351,41.76,45.753,45.681,45.653,45.592,45.512,45.453,45.423,45.393,43.008,44.609,41.585,42.455,44.646,44.683,44.665,44.632,44.583
cri,Costa Rica,30.968,30.872,31.853,32.736,33.261,31.268,34.403,36.47,36.781,36.086,38.39,37.9,38.052,36.46,39.393,39.548,41.261,41.657,40.394,40.103,40.961,45.875,46.268,45.959,44.884,41.352,41.447,43.107,45.314,38.339,40.176,42.673,39.587,39.799,39.586,39.419
cub,Cuba,32.15,30.631,28.828,29.086,29.583,30.581,31.355,32.147,32.67,33.77,35.048,35.594,36.358,37.289,38.259,39.318,40.115,40.464,41.62,40.796,40.745,41.011,41.341,41.653,42.291,42.427,42.654,42.52,42.184,39.446,39.572,39.64,39.206,38.881,38.522,38.109
